date,confirmed
20200229,1
20200301,1
20200302,1
20200303,1
20200304,1
20200305,2
20200306,3
20200307,4
20200308,5
20200309,5
20200310,7
20200311,7
20200312,26
20200313,38
20200314,51
20200315,77
20200316,81
20200317,140
20200318,203
20200319,335
20200320,484
20200321,670
20200322,798
20200323,875
20200324,1099
20200325,1333
20200326,1453
20200327,1605
20200328,1831
20200329,1950
20200330,1988
20200331,2178
20200401,2319
20200402,2487
20200403,2612
20200404,2729
20200405,2804
20200406,2843
20200407,2970
20200408,3034
20200409,3115
